ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0048024	"regulation of mRNA splicing, via spliceosome"	17/938	98/18670	7.02E-06	0.003067899	0.002953198	JMJD6/RBFOX2/TRA2A/HNRNPK/MBNL1/NUP98/MBNL3/RBM3/SRSF2/SRSF6/SRPK2/TIA1/MBNL2/RBM5/KHDRBS3/FAM172A/NSRP1	17
BP	GO:0061512	protein localization to cilium	11/938	54/18670	6.37E-05	0.024961568	0.024028318	DZIP1/BBS9/CCDC66/SNX10/IFT122/SPATA7/CC2D2A/TCTN1/TMEM107/IFT20/BBIP1	11
BP	GO:0016569	covalent chromatin modification	44/938	474/18670	6.75E-05	0.024961568	0.024028318	DNMT1/EP300/EYA3/C6orf89/PHF8/JMJD6/HDAC1/PRMT2/MBD1/TRIM37/PPHLN1/MBIP/ARID4B/PHB/KANSL2/ELP3/SETD5/KANSL3/MAPK3/MIER1/RNF2/MEAF6/SUPT6H/TAF1/MAP3K7/UTY/VEGFA/PRDM2/BRCC3/TBL1XR1/NCOA3/MCRS1/KAT5/NCOA1/EED/TRIP12/ATG5/MORF4L2/USP15/USP3/BRD8/PRDM5/ATF2/DDB2	44
BP	GO:0016236	macroautophagy	31/938	295/18670	8.71E-05	0.027978603	0.026932553	EXOC7/GBA/SNX5/UBQLN1/SH3GLB1/PRKAG2/PIK3C3/ATP6V0A1/PRKAB2/EXOC1/MAPK3/SNX14/RHEB/MAP3K7/IFT88/ATG10/RNF41/RRAGB/LAMTOR3/MTMR3/IFT20/ATG12/ATG5/VPS26A/ATG13/TBC1D5/TOMM20/ATG4A/VPS37A/UBXN2B/SLC38A9	31
BP	GO:0006914	autophagy	45/938	496/18670	9.59E-05	0.027978603	0.026932553	EP300/USP33/EXOC7/VPS39/MFSD8/FBXO7/FBXL2/GBA/VPS41/SNX5/UBQLN1/SOGA3/SH3GLB1/PRKAG2/PIK3C3/ATP6V0A1/PRKAB2/EXOC1/MAPK3/DNM1L/SNX14/PTK2/RHEB/MTMR9/MAP3K7/TMBIM6/IFT88/ATG10/RNF41/RRAGB/KAT5/LAMTOR3/MTMR3/IFT20/ATG12/ATG5/VPS26A/ATG13/TBC1D5/TOMM20/ATG4A/DRAM2/VPS37A/UBXN2B/SLC38A9	45
BP	GO:0061919	process utilizing autophagic mechanism	45/938	496/18670	9.59E-05	0.027978603	0.026932553	EP300/USP33/EXOC7/VPS39/MFSD8/FBXO7/FBXL2/GBA/VPS41/SNX5/UBQLN1/SOGA3/SH3GLB1/PRKAG2/PIK3C3/ATP6V0A1/PRKAB2/EXOC1/MAPK3/DNM1L/SNX14/PTK2/RHEB/MTMR9/MAP3K7/TMBIM6/IFT88/ATG10/RNF41/RRAGB/KAT5/LAMTOR3/MTMR3/IFT20/ATG12/ATG5/VPS26A/ATG13/TBC1D5/TOMM20/ATG4A/DRAM2/VPS37A/UBXN2B/SLC38A9	45
BP	GO:0048813	dendrite morphogenesis	19/938	143/18670	0.000100415	0.027978603	0.026932553	ABI1/BTBD3/RBFOX2/FYN/SIPA1L1/MAP2/MEF2A/OPA1/PPP1R9A/DNM1L/PARP6/CAPRIN2/TRAK2/CAMK2B/PICALM/ABI2/PDLIM5/NRP1/CUX1	19
BP	GO:0016570	histone modification	42/938	454/18670	0.000105832	0.027978603	0.026932553	DNMT1/EP300/EYA3/C6orf89/PHF8/JMJD6/HDAC1/PRMT2/TRIM37/MBIP/ARID4B/PHB/KANSL2/ELP3/SETD5/KANSL3/MAPK3/MIER1/RNF2/MEAF6/SUPT6H/TAF1/MAP3K7/UTY/VEGFA/PRDM2/BRCC3/TBL1XR1/NCOA3/MCRS1/KAT5/NCOA1/EED/TRIP12/ATG5/MORF4L2/USP15/USP3/BRD8/PRDM5/ATF2/DDB2	42
BP	GO:0018205	peptidyl-lysine modification	38/938	397/18670	0.00011061	0.027978603	0.026932553	DNMT1/EP300/JMJD6/RWDD3/RNF212/ARNT/MDM2/NUP88/NUP98/MBIP/LIPT1/ARID4B/NUP54/PLOD2/SETD4/KANSL2/ELP3/SETD5/KANSL3/MAPK3/SENP7/MEAF6/SUPT6H/TAF1/MAP3K7/PRDM2/NCOA3/USPL1/HMG20A/MCRS1/KAT5/NCOA1/EED/ATG5/MORF4L2/BRD8/PRDM5/ATF2	38
BP	GO:0016241	regulation of macroautophagy	21/938	171/18670	0.000139431	0.033505372	0.032252691	EXOC7/GBA/SNX5/UBQLN1/SH3GLB1/PRKAG2/ATP6V0A1/PRKAB2/EXOC1/MAPK3/RHEB/MAP3K7/IFT88/RNF41/RRAGB/LAMTOR3/MTMR3/IFT20/VPS26A/ATG13/SLC38A9	21
BP	GO:0043928	exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay	8/938	33/18670	0.000177884	0.039316176	0.037846243	DCP2/LSM4/EXOSC3/EXOSC1/LSM7/DCP1A/EDC3/EXOSC8	8
BP	GO:1901987	regulation of cell cycle phase transition	43/938	480/18670	0.000179974	0.039316176	0.037846243	EP300/CEP164/PSME4/PLCB1/STXBP4/FBXO7/CNOT10/ANAPC15/ANKRD17/BABAM1/PRMT2/APP/MDM2/MDM4/PCM1/ANAPC5/PKD2/PLAGL1/HAUS2/CDK5RAP2/PRKAR2B/RAD17/RAD51C/TAF1/TFDP1/TFDP2/ZNF207/ZNF655/BRCC3/CEP63/CEP70/AKAP9/ANAPC10/OFD1/CDC16/NAE1/BTRC/CEP41/CEP57/CCP110/PSMD6/SDCCAG8/ANAPC16	43
BP	GO:0030521	androgen receptor signaling pathway	11/938	61/18670	0.000201685	0.042143484	0.040567846	EP300/HDAC1/PRMT2/RWDD1/PHB/TAF1/NCOA3/CDK7/KAT5/NCOA1/SAFB2	11
BP	GO:0010506	regulation of autophagy	32/938	327/18670	0.000252747	0.048840143	0.047014133	EP300/USP33/EXOC7/MFSD8/FBXO7/FBXL2/GBA/SNX5/UBQLN1/SOGA3/SH3GLB1/PRKAG2/ATP6V0A1/PRKAB2/EXOC1/MAPK3/DNM1L/PTK2/RHEB/MTMR9/MAP3K7/IFT88/RNF41/RRAGB/KAT5/LAMTOR3/MTMR3/IFT20/VPS26A/ATG13/DRAM2/SLC38A9	32
BP	GO:0070646	protein modification by small protein removal	30/938	299/18670	0.000254058	0.048840143	0.047014133	TANK/EP300/USP33/PSME4/BABAM1/USP25/MDM2/MDM4/NFRKB/UCHL5/POLB/RHOT1/SENP7/USP37/SMURF2/MAP3K7/BRCC3/USPL1/MCRS1/STAMBP/USP8/CCP110/TOMM20/PSMD6/USP15/USP3/COPS8/INO80C/CYLD/DDB2	30
CC	GO:0044450	microtubule organizing center part	28/980	185/19717	1.40E-07	8.43E-05	7.33E-05	DZIP1/CEP164/EXOC7/BBS9/CCDC66/KIF2A/NEK1/PCM1/TUBD1/TUBE1/AHI1/CDK5RAP2/NUBP2/ODF2L/CCDC14/CEP63/TSGA10/IFT88/MPHOSPH9/OFD1/IFT20/CEP41/IQCB1/CEP104/CCP110/SDCCAG8/POC5/SASS6	28
CC	GO:0036064	ciliary basal body	22/980	133/19717	6.44E-07	0.000194098	0.000168737	DZIP1/KIFAP3/ERC1/CCDC66/MLF1/PCM1/TBC1D7/PKD2/AHI1/WDR11/IFT122/SPATA7/IFT46/ODF2L/IFT88/FAM161A/OFD1/IFT20/CEP41/SDCCAG8/TTC8/CYLD	22
CC	GO:0005681	spliceosomal complex	26/980	185/19717	1.65E-06	0.000331886	0.000288521	U2AF1L4/SRRM2/LSM4/HNRNPF/HNRNPH1/HNRNPK/MYEF2/LSM7/LUC7L3/PPIL3/CWC25/MAGOHB/PRPF38B/CWF19L1/LUC7L/ZMAT5/RBM3/RHEB/SRSF2/SNRPN/U2AF1/RBM5/SRRM1/PPIE/GEMIN2/PRPF3	26
CC	GO:0044441	ciliary part	47/980	462/19717	2.71E-06	0.000408166	0.000354834	RSPH9/DZIP1/CEP164/KIFAP3/CLUAP1/ERC1/TCTN3/BBS9/CCDC66/APP/CERKL/KIF2A/MAP4/MLF1/MYO5A/WDPCP/PCM1/TBC1D7/PIK3C3/PKD2/SPATA6/AHI1/WDR11/IFT122/PRKAR2B/SPATA7/IFT46/ODF2L/CC2D2A/SPAG16/TCTN1/TSGA10/IFT88/DNAL1/FAM161A/TMEM107/OFD1/IFT20/BBIP1/ATG5/CEP41/SPAG6/IQCB1/SDCCAG8/TTC8/SLC9B2/CYLD	47
CC	GO:0005814	centriole	21/980	139/19717	5.13E-06	0.000619203	0.000538296	DZIP1/CEP164/KIF2A/PCM1/TUBD1/AHI1/NUBP2/ODF2L/CEP63/TSGA10/IFT88/MPHOSPH9/OFD1/IFT20/CEP41/IQCB1/CEP104/CCP110/SDCCAG8/POC5/SASS6	21
CC	GO:0000151	ubiquitin ligase complex	31/980	282/19717	3.06E-05	0.003074257	0.002672567	PHC2/AMN1/USP33/DCUN1D4/FBXO7/FBXL2/ARMC8/RCHY1/ANAPC15/FBXL5/FBXL4/FBXO25/CACYBP/LMO7/DCAF8/ANAPC5/DCAF16/KLHL12/RNF2/SMURF2/BRCC3/DCAF10/ANAPC10/ARIH2/CDC16/BTRC/UBE3D/SUGT1/OS9/ANAPC16/DDB2	31
CC	GO:1902562	H4 histone acetyltransferase complex	10/980	43/19717	3.76E-05	0.003240956	0.002817485	MBIP/KANSL2/KANSL3/MEAF6/MAP3K7/MCRS1/KAT5/MORF4L2/UBAP2L/BRD8	10
CC	GO:0044665	MLL1/2 complex	8/980	29/19717	6.10E-05	0.004087845	0.003553717	E2F6/TEX10/RNF2/TAF1/LAS1L/MCRS1/C17orf49/INO80C	8
CC	GO:0071339	MLL1 complex	8/980	29/19717	6.10E-05	0.004087845	0.003553717	E2F6/TEX10/RNF2/TAF1/LAS1L/MCRS1/C17orf49/INO80C	8
CC	GO:0034451	centriolar satellite	8/980	30/19717	7.96E-05	0.004499791	0.003911837	EXOC7/BBS9/CCDC66/PCM1/ODF2L/CCDC14/OFD1/SDCCAG8	8
CC	GO:0035869	ciliary transition zone	12/980	66/19717	8.72E-05	0.004499791	0.003911837	KIFAP3/BBS9/PCM1/AHI1/IFT122/SPATA7/CC2D2A/TCTN1/FAM161A/TMEM107/IFT20/IQCB1	12
CC	GO:0016607	nuclear speck	38/980	397/19717	8.95E-05	0.004499791	0.003911837	U2AF1L4/ACIN1/SMC5/PSME4/PLCB1/FNBP4/SRRM2/RCHY1/FBXL4/ZNF638/ACADM/MBD1/MPP1/NONO/LUC7L3/ATP6V0A1/RBM27/CWC25/EAF2/YLPM1/CCNL1/RBBP6/SRSF2/SRSF6/SMURF2/U2AF1/SMC6/ZC3H14/RUFY1/SRRM1/PPIE/NSRP1/DUSP11/PRPF3/TRIP12/PUM1/BCLAF1/DDX42	38
CC	GO:0005777	peroxisome	18/980	134/19717	0.000115458	0.004972962	0.004323182	ACOT8/ALDH3A2/AMACR/HACL1/NUDT7/TRIM37/MYO5A/PNPLA8/PIK3C3/DNM1L/MFF/PEX19/ABCD4/PEX2/TMEM135/GNPAT/PEX3/PXMP4	18
CC	GO:0042579	microbody	18/980	134/19717	0.000115458	0.004972962	0.004323182	ACOT8/ALDH3A2/AMACR/HACL1/NUDT7/TRIM37/MYO5A/PNPLA8/PIK3C3/DNM1L/MFF/PEX19/ABCD4/PEX2/TMEM135/GNPAT/PEX3/PXMP4	18
CC	GO:0031461	cullin-RING ubiquitin ligase complex	19/980	158/19717	0.000327336	0.013127546	0.011412268	AMN1/FBXO7/FBXL2/ANAPC15/FBXL5/FBXL4/FBXO25/CACYBP/DCAF8/ANAPC5/DCAF16/KLHL12/DCAF10/ANAPC10/ARIH2/CDC16/BTRC/ANAPC16/DDB2	19
CC	GO:0070603	SWI/SNF superfamily-type complex	12/980	76/19717	0.000348326	0.013127546	0.011412268	BPTF/HDAC1/HMGXB4/NFRKB/UCHL5/PBRM1/SMARCA2/MCRS1/KAT5/BRD8/C17orf49/INO80C	12
CC	GO:0030496	midbody	20/980	173/19717	0.000389417	0.01381284	0.01200802	C6orf89/EXOC7/ANXA2/MYH10/SH3GLB1/PIK3C3/EXOC1/EXOC2/PKN2/LYRM1/BIRC6/KIF13A/MICAL1/CEP44/USP8/IST1/USP3/MITD1/CTNND1/CYLD	20
CC	GO:0031314	extrinsic component of mitochondrial inner membrane	5/980	14/19717	0.000412536	0.013819969	0.012014218	OPA1/COQ3/NDUFAF5/COQ5/TAMM41	5
CC	GO:0031312	extrinsic component of organelle membrane	9/980	48/19717	0.000519494	0.016487099	0.014332854	SNX5/SNX10/OPA1/COQ3/SNX16/NDUFAF5/COQ5/USP8/TAMM41	9
CC	GO:0036464	cytoplasmic ribonucleoprotein granule	22/980	212/19717	0.000907359	0.027356883	0.023782365	DCP2/SYNE1/PUM2/LSM4/TNRC6A/HNRNPK/MBNL1/YTHDF2/RC3H2/RBM23/DCP1A/ATXN2/STAU1/TIA1/EDC3/FXR1/PABPC4/PUM1/USP3/LARP4/TDRD9/DHX9	22
CC	GO:0031313	extrinsic component of endosome membrane	4/980	10/19717	0.001000867	0.028086262	0.024416442	SNX5/SNX10/SNX16/USP8	4
CC	GO:0000152	nuclear ubiquitin ligase complex	8/980	43/19717	0.001111997	0.028086262	0.024416442	PHC2/ANAPC15/ANAPC5/RNF2/BRCC3/ANAPC10/CDC16/ANAPC16	8
CC	GO:0000176	nuclear exosome (RNase complex)	5/980	17/19717	0.001125638	0.028086262	0.024416442	NVL/EXOSC3/EXOSC1/C1D/EXOSC8	5
CC	GO:0097346	INO80-type complex	6/980	25/19717	0.001164439	0.028086262	0.024416442	NFRKB/UCHL5/MCRS1/KAT5/BRD8/INO80C	6
CC	GO:1905354	exoribonuclease complex	6/980	25/19717	0.001164439	0.028086262	0.024416442	NVL/EXOSC3/EXOSC1/LAS1L/C1D/EXOSC8	6
CC	GO:0005819	spindle	31/980	347/19717	0.001212784	0.028127261	0.024452083	KIFAP3/NEIL2/SKA2/APP/KIF2A/MAP4/MYH10/PKD2/POLB/PPP2R3C/HAUS2/CDK5RAP2/NUBP2/BIRC6/MMS19/ZNF207/BRCC3/TBL1XR1/CSPP1/CEP63/CEP44/FAM161A/CDC16/CEP95/IQCB1/CEP104/STAG2/SPIN1/DIDO1/UBXN2B/CYLD	31
CC	GO:0044438	microbody part	13/980	100/19717	0.001344496	0.028954684	0.025171393	ACOT8/ALDH3A2/AMACR/HACL1/NUDT7/PNPLA8/PEX19/ABCD4/PEX2/TMEM135/GNPAT/PEX3/PXMP4	13
CC	GO:0044439	peroxisomal part	13/980	100/19717	0.001344496	0.028954684	0.025171393	ACOT8/ALDH3A2/AMACR/HACL1/NUDT7/PNPLA8/PEX19/ABCD4/PEX2/TMEM135/GNPAT/PEX3/PXMP4	13
CC	GO:0010494	cytoplasmic stress granule	10/980	66/19717	0.00147279	0.029636665	0.025764265	PUM2/HNRNPK/MBNL1/RBM23/ATXN2/STAU1/TIA1/PABPC4/PUM1/LARP4	10
CC	GO:1904949	ATPase complex	13/980	101/19717	0.001474461	0.029636665	0.025764265	BPTF/HDAC1/HMGXB4/NFRKB/UCHL5/PBRM1/ABCD4/SMARCA2/MCRS1/KAT5/BRD8/C17orf49/INO80C	13
CC	GO:0030027	lamellipodium	20/980	193/19717	0.001545277	0.030058139	0.026130668	ABI1/FAT1/RUFY3/PALLD/APP/ABLIM1/MYH10/NME2/PAK1/EVL/PKD2/PPP1R9A/PKN2/PTK2/PHACTR4/ABI2/SORBS2/ITGB1BP1/CDC42BPB/CTNND1	20
CC	GO:0019898	extrinsic component of membrane	27/980	295/19717	0.00172168	0.031437002	0.027329365	DTNA/CNKSR2/FYN/GBA/SNX5/GNAS/SNX10/ANXA2/KRAS/NMT1/OPA1/COQ3/PIK3C3/SNX16/NDUFAF5/PICALM/AKAP9/COQ5/PIK3R3/NUMB/MTMR3/USP8/ATG13/MITD1/TAMM41/CTNND1/CYLD	27
CC	GO:0035770	ribonucleoprotein granule	22/980	223/19717	0.001749323	0.031437002	0.027329365	DCP2/SYNE1/PUM2/LSM4/TNRC6A/HNRNPK/MBNL1/YTHDF2/RC3H2/RBM23/DCP1A/ATXN2/STAU1/TIA1/EDC3/FXR1/PABPC4/PUM1/USP3/LARP4/TDRD9/DHX9	22
CC	GO:0010008	endosome membrane	39/980	479/19717	0.001772567	0.031437002	0.027329365	VPS39/ABCA5/VPS41/SNX5/SNX10/ANXA2/MYO1B/IRAK4/CD320/VPS29/ATP6V0A1/YIPF1/WDR44/MCOLN3/SNX14/KIF13A/SNX16/MAP3K7/RUFY1/STARD3NL/RABEPK/LAMTOR3/MTMR2/AP1G2/USP8/MTMR4/RAB11B/VPS26A/GOSR2/ZFYVE16/TBC1D5/SNX17/OSBPL9/AP2M1/RFFL/MITD1/SLC9B2/VPS37A/SLC38A9	39
CC	GO:0090543	Flemming body	6/980	28/19717	0.002180985	0.037575258	0.032665582	EXOC7/EXOC1/EXOC2/BIRC6/IST1/USP3	6
CC	GO:0031248	protein acetyltransferase complex	12/980	95/19717	0.002593682	0.041179921	0.03579925	EP300/MBIP/KANSL2/KANSL3/MEAF6/MAP3K7/NAA16/MCRS1/KAT5/MORF4L2/UBAP2L/BRD8	12
CC	GO:1902493	acetyltransferase complex	12/980	95/19717	0.002593682	0.041179921	0.03579925	EP300/MBIP/KANSL2/KANSL3/MEAF6/MAP3K7/NAA16/MCRS1/KAT5/MORF4L2/UBAP2L/BRD8	12
CC	GO:0005778	peroxisomal membrane	9/980	60/19717	0.002690545	0.041179921	0.03579925	ALDH3A2/PNPLA8/PEX19/ABCD4/PEX2/TMEM135/GNPAT/PEX3/PXMP4	9
CC	GO:0031903	microbody membrane	9/980	60/19717	0.002690545	0.041179921	0.03579925	ALDH3A2/PNPLA8/PEX19/ABCD4/PEX2/TMEM135/GNPAT/PEX3/PXMP4	9
CC	GO:0031902	late endosome membrane	15/980	134/19717	0.00273167	0.041179921	0.03579925	VPS39/ABCA5/VPS41/ANXA2/YIPF1/MCOLN3/SNX14/SNX16/STARD3NL/LAMTOR3/GOSR2/OSBPL9/MITD1/VPS37A/SLC38A9	15
CC	GO:0036038	MKS complex	4/980	13/19717	0.003023127	0.043607999	0.03791007	AHI1/CC2D2A/TCTN1/TMEM107	4
CC	GO:0000242	pericentriolar material	5/980	21/19717	0.003137143	0.043607999	0.03791007	BBS9/NEK1/PCM1/TUBE1/CDK5RAP2	5
CC	GO:0005680	anaphase-promoting complex	5/980	21/19717	0.003137143	0.043607999	0.03791007	ANAPC15/ANAPC5/ANAPC10/CDC16/ANAPC16	5
CC	GO:0000123	histone acetyltransferase complex	11/980	85/19717	0.00318201	0.043607999	0.03791007	EP300/MBIP/KANSL2/KANSL3/MEAF6/MAP3K7/MCRS1/KAT5/MORF4L2/UBAP2L/BRD8	11
CC	GO:0035097	histone methyltransferase complex	11/980	86/19717	0.003488816	0.04675013	0.040641642	E2F6/TRIM37/TEX10/RNF2/TAF1/UTY/LAS1L/MCRS1/EED/C17orf49/INO80C	11
MF	GO:0019787	ubiquitin-like protein transferase activity	45/955	407/17697	4.00E-06	0.001720256	0.001651916	AMN1/MYCBP2/UBR4/RNF214/SHPRH/FBXO7/FBXL2/HECTD1/RCHY1/HERC4/FBXL5/FBXL4/FBXO25/RNF115/RNF212/UBE2T/LMO7/MDM2/TRIM37/NOSIP/RNFT1/RNF181/BFAR/ANAPC5/TRIM33/RC3H2/RNF111/FANCL/G2E3/BIRC6/RBBP6/RNF2/SMURF2/TAF1/TTC3/RNF170/ATG10/RNF41/ARIH2/BTRC/UBE3D/UBE2Q2/TRIP12/RFFL/DDB2	45
MF	GO:0004842	ubiquitin-protein transferase activity	43/955	382/17697	4.14E-06	0.001720256	0.001651916	AMN1/MYCBP2/UBR4/RNF214/SHPRH/FBXO7/FBXL2/HECTD1/RCHY1/HERC4/FBXL5/FBXL4/FBXO25/RNF115/UBE2T/LMO7/MDM2/TRIM37/NOSIP/RNFT1/RNF181/BFAR/ANAPC5/TRIM33/RC3H2/RNF111/FANCL/G2E3/BIRC6/RBBP6/RNF2/SMURF2/TAF1/TTC3/RNF170/RNF41/ARIH2/BTRC/UBE3D/UBE2Q2/TRIP12/RFFL/DDB2	43
MF	GO:0019902	phosphatase binding	23/955	185/17697	0.000163137	0.04524333	0.043445961	DLG1/KIFAP3/FBXL2/SH3YL1/VRK3/ANAPC5/STYXL1/CHCHD3/PPP6R3/PPP3CB/PPP1R9A/MAPK3/PARD3/PTK2/CEACAM1/WNK1/PHACTR4/MTMR9/STAU1/MTMR3/MTMR4/PPP6R2/SMG7	23
