"","active.ident[rownames(active.ident) %in% T2D, ]"
"SRR_ALL:SRR3617444.bam","4"
"SRR_ALL:SRR3617448.bam","2"
"SRR_ALL:SRR3617449.bam","2"
"SRR_ALL:SRR3617450.bam","3"
"SRR_ALL:SRR3617451.bam","3"
"SRR_ALL:SRR3617453.bam","2"
"SRR_ALL:SRR3617454.bam","1"
"SRR_ALL:SRR3617455.bam","2"
"SRR_ALL:SRR3617460.bam","3"
"SRR_ALL:SRR3617466.bam","2"
"SRR_ALL:SRR3617471.bam","2"
"SRR_ALL:SRR3617472.bam","10"
"SRR_ALL:SRR3617476.bam","10"
"SRR_ALL:SRR3617477.bam","2"
"SRR_ALL:SRR3617478.bam","3"
"SRR_ALL:SRR3617481.bam","3"
"SRR_ALL:SRR3617486.bam","2"
"SRR_ALL:SRR3617489.bam","3"
"SRR_ALL:SRR3617490.bam","1"
"SRR_ALL:SRR3617491.bam","1"
"SRR_ALL:SRR3617493.bam","1"
"SRR_ALL:SRR3617496.bam","1"
"SRR_ALL:SRR3617508.bam","3"
"SRR_ALL:SRR3617512.bam","9"
"SRR_ALL:SRR3617513.bam","1"
"SRR_ALL:SRR3617518.bam","1"
"SRR_ALL:SRR3617521.bam","9"
"SRR_ALL:SRR3617526.bam","10"
"SRR_ALL:SRR3617530.bam","2"
"SRR_ALL:SRR3617533.bam","2"
"SRR_ALL:SRR3617536.bam","1"
"SRR_ALL:SRR3617540.bam","1"
"SRR_ALL:SRR3617541.bam","1"
"SRR_ALL:SRR3617544.bam","2"
"SRR_ALL:SRR3617545.bam","3"
"SRR_ALL:SRR3617547.bam","2"
"SRR_ALL:SRR3617548.bam","1"
"SRR_ALL:SRR3617554.bam","3"
"SRR_ALL:SRR3617555.bam","3"
"SRR_ALL:SRR3617562.bam","2"
"SRR_ALL:SRR3617568.bam","3"
"SRR_ALL:SRR3617569.bam","2"
"SRR_ALL:SRR3617791.bam","3"
"SRR_ALL:SRR3617793.bam","3"
"SRR_ALL:SRR3617794.bam","1"
"SRR_ALL:SRR3617795.bam","1"
"SRR_ALL:SRR3617797.bam","3"
"SRR_ALL:SRR3617801.bam","8"
"SRR_ALL:SRR3617802.bam","3"
"SRR_ALL:SRR3617804.bam","2"
"SRR_ALL:SRR3617816.bam","3"
"SRR_ALL:SRR3617817.bam","2"
"SRR_ALL:SRR3617825.bam","3"
"SRR_ALL:SRR3617831.bam","2"
"SRR_ALL:SRR3617838.bam","2"
"SRR_ALL:SRR3617844.bam","4"
"SRR_ALL:SRR3617854.bam","2"
"SRR_ALL:SRR3617855.bam","1"
"SRR_ALL:SRR3617859.bam","2"
"SRR_ALL:SRR3617219.bam","1"
"SRR_ALL:SRR3617265.bam","10"
"SRR_ALL:SRR3617275.bam","9"
"SRR_ALL:SRR3617283.bam","9"
"SRR_ALL:SRR3617296.bam","10"
"SRR_ALL:SRR3617305.bam","10"
"SRR_ALL:SRR3617334.bam","9"
"SRR_ALL:SRR3617349.bam","6"
"SRR_ALL:SRR3617560.bam","1"
"SRR_ALL:SRR3617565.bam","2"
"SRR_ALL:SRR3617223.bam","10"
"SRR_ALL:SRR3617234.bam","7"
"SRR_ALL:SRR3617237.bam","7"
"SRR_ALL:SRR3617238.bam","7"
"SRR_ALL:SRR3617241.bam","9"
"SRR_ALL:SRR3617249.bam","9"
"SRR_ALL:SRR3617251.bam","9"
"SRR_ALL:SRR3617253.bam","7"
"SRR_ALL:SRR3617257.bam","7"
"SRR_ALL:SRR3617259.bam","9"
"SRR_ALL:SRR3617260.bam","10"
"SRR_ALL:SRR3617264.bam","7"
"SRR_ALL:SRR3617266.bam","9"
"SRR_ALL:SRR3617272.bam","9"
"SRR_ALL:SRR3617280.bam","7"
"SRR_ALL:SRR3617289.bam","9"
"SRR_ALL:SRR3617297.bam","7"
"SRR_ALL:SRR3617302.bam","6"
"SRR_ALL:SRR3617303.bam","6"
"SRR_ALL:SRR3617307.bam","5"
"SRR_ALL:SRR3617309.bam","6"
"SRR_ALL:SRR3617313.bam","7"
"SRR_ALL:SRR3617330.bam","7"
"SRR_ALL:SRR3617331.bam","10"
"SRR_ALL:SRR3617332.bam","8"
"SRR_ALL:SRR3617354.bam","7"
"SRR_ALL:SRR3617357.bam","6"
"SRR_ALL:SRR3617359.bam","9"
"SRR_ALL:SRR3617360.bam","10"
"SRR_ALL:SRR3617365.bam","9"
"SRR_ALL:SRR3617367.bam","7"
"SRR_ALL:SRR3617380.bam","9"
"SRR_ALL:SRR3617381.bam","8"
"SRR_ALL:SRR3617390.bam","6"
"SRR_ALL:SRR3617393.bam","7"
"SRR_ALL:SRR3617400.bam","7"
"SRR_ALL:SRR3617409.bam","9"
"SRR_ALL:SRR3617412.bam","7"
"SRR_ALL:SRR3617417.bam","7"
"SRR_ALL:SRR3617418.bam","6"
"SRR_ALL:SRR3617426.bam","9"
"SRR_ALL:SRR3617428.bam","9"
"SRR_ALL:SRR3617439.bam","9"
"SRR_ALL:SRR3617446.bam","8"
"SRR_ALL:SRR3617447.bam","6"
"SRR_ALL:SRR3617452.bam","7"
"SRR_ALL:SRR3617459.bam","7"
"SRR_ALL:SRR3617461.bam","7"
"SRR_ALL:SRR3617467.bam","8"
"SRR_ALL:SRR3617468.bam","9"
"SRR_ALL:SRR3617480.bam","6"
"SRR_ALL:SRR3617487.bam","6"
"SRR_ALL:SRR3617492.bam","6"
"SRR_ALL:SRR3617494.bam","7"
"SRR_ALL:SRR3617495.bam","7"
"SRR_ALL:SRR3617501.bam","9"
"SRR_ALL:SRR3617503.bam","7"
"SRR_ALL:SRR3617504.bam","6"
"SRR_ALL:SRR3617505.bam","6"
"SRR_ALL:SRR3617514.bam","7"
"SRR_ALL:SRR3617517.bam","8"
"SRR_ALL:SRR3617519.bam","9"
"SRR_ALL:SRR3617523.bam","9"
"SRR_ALL:SRR3617527.bam","10"
"SRR_ALL:SRR3617528.bam","9"
"SRR_ALL:SRR3617529.bam","9"
"SRR_ALL:SRR3617534.bam","9"
"SRR_ALL:SRR3617543.bam","7"
"SRR_ALL:SRR3617549.bam","3"
"SRR_ALL:SRR3617550.bam","9"
"SRR_ALL:SRR3617552.bam","7"
"SRR_ALL:SRR3617559.bam","9"
"SRR_ALL:SRR3617561.bam","6"
"SRR_ALL:SRR3617566.bam","9"
"SRR_ALL:SRR3617567.bam","9"
"SRR_ALL:SRR3617570.bam","7"
"SRR_ALL:SRR3617792.bam","7"
"SRR_ALL:SRR3617796.bam","8"
"SRR_ALL:SRR3617799.bam","9"
"SRR_ALL:SRR3617800.bam","7"
"SRR_ALL:SRR3617805.bam","7"
"SRR_ALL:SRR3617806.bam","9"
"SRR_ALL:SRR3617807.bam","7"
"SRR_ALL:SRR3617809.bam","7"
"SRR_ALL:SRR3617810.bam","7"
"SRR_ALL:SRR3617811.bam","5"
"SRR_ALL:SRR3617812.bam","7"
"SRR_ALL:SRR3617814.bam","6"
"SRR_ALL:SRR3617815.bam","10"
"SRR_ALL:SRR3617818.bam","6"
"SRR_ALL:SRR3617819.bam","9"
"SRR_ALL:SRR3617820.bam","7"
"SRR_ALL:SRR3617822.bam","7"
"SRR_ALL:SRR3617823.bam","9"
"SRR_ALL:SRR3617824.bam","7"
"SRR_ALL:SRR3617826.bam","6"
"SRR_ALL:SRR3617827.bam","9"
"SRR_ALL:SRR3617828.bam","5"
"SRR_ALL:SRR3617829.bam","5"
"SRR_ALL:SRR3617830.bam","7"
"SRR_ALL:SRR3617832.bam","10"
"SRR_ALL:SRR3617833.bam","9"
"SRR_ALL:SRR3617837.bam","7"
"SRR_ALL:SRR3617839.bam","6"
"SRR_ALL:SRR3617843.bam","6"
"SRR_ALL:SRR3617847.bam","7"
"SRR_ALL:SRR3617848.bam","5"
"SRR_ALL:SRR3617851.bam","5"
"SRR_ALL:SRR3617853.bam","5"
"SRR_ALL:SRR3617858.bam","6"
"SRR_ALL:SRR3617860.bam","5"
"SRR_ALL:SRR3617862.bam","5"
"SRR_ALL:SRR3617863.bam","7"
"SRR_ALL:SRR3617281.bam","1"
"SRR_ALL:SRR3617304.bam","10"
"SRR_ALL:SRR3617318.bam","9"
"SRR_ALL:SRR3617525.bam","1"
"SRR_ALL:SRR3617558.bam","2"
"SRR_ALL:SRR3617564.bam","2"
"SRR_ALL:SRR3617808.bam","1"
"SRR_ALL:SRR3617850.bam","2"
"SRR_ALL:SRR3617852.bam","7"
"SRR_ALL:SRR3617306.bam","2"
"SRR_ALL:SRR3617372.bam","3"
"SRR_ALL:SRR3617379.bam","3"
"SRR_ALL:SRR3617384.bam","3"
"SRR_ALL:SRR3617395.bam","3"
"SRR_ALL:SRR3617397.bam","5"
"SRR_ALL:SRR3617405.bam","6"
"SRR_ALL:SRR3617408.bam","3"
"SRR_ALL:SRR3617410.bam","9"
"SRR_ALL:SRR3617421.bam","9"
"SRR_ALL:SRR3617441.bam","3"
"SRR_ALL:SRR3617463.bam","3"
"SRR_ALL:SRR3617464.bam","1"
"SRR_ALL:SRR3617469.bam","3"
"SRR_ALL:SRR3617473.bam","7"
"SRR_ALL:SRR3617474.bam","3"
"SRR_ALL:SRR3617483.bam","6"
"SRR_ALL:SRR3617485.bam","6"
"SRR_ALL:SRR3617497.bam","6"
"SRR_ALL:SRR3617500.bam","3"
"SRR_ALL:SRR3617507.bam","3"
"SRR_ALL:SRR3617515.bam","2"
"SRR_ALL:SRR3617516.bam","7"
"SRR_ALL:SRR3617520.bam","3"
"SRR_ALL:SRR3617524.bam","3"
"SRR_ALL:SRR3617531.bam","3"
"SRR_ALL:SRR3617532.bam","3"
"SRR_ALL:SRR3617535.bam","6"
"SRR_ALL:SRR3617539.bam","3"
"SRR_ALL:SRR3617551.bam","3"
"SRR_ALL:SRR3617553.bam","6"
"SRR_ALL:SRR3617834.bam","5"
"SRR_ALL:SRR3617836.bam","2"
"SRR_ALL:SRR3617840.bam","3"
"SRR_ALL:SRR3617845.bam","5"
"SRR_ALL:SRR3617849.bam","5"
"SRR_ALL:SRR3617856.bam","3"
"SRR_ALL:SRR3617857.bam","3"
