,ensemble,symbol,gene,chrom,chromStart,chromEnd,name,score,strand,type,lawlor_T2D_PSI,lawlor_ND_PSI,lawlor_dI,lawlor_FDR,lawlor.beta_T2D_ratio,lawlor.beta_ND_ratio,lawlor_mark,xin_T2D_PSI,xin_ND_PSI,xin_dI,xin_FDR,xin.beta_T2D_ratio,xin.beta_ND_ratio,xin_mark,
13,10006,ABI1,10006//ABI1,chr10,27059173,27112233,CA-10006-40950-86846-87023-93742[INC][195/3],0,-,cass,1,1,0,1,0.204918033,0.181818182,None,1,1,0,1,0.126353791,0.089005236,None,
14,10006,ABI1,10006//ABI1,chr10,27065993,27112233,CA-10006-40950-42846-42920-86846[INC][1/669],0,-,cass,0,0,0,1,0.204918033,0.181818182,None,0,0,0,1,0.122743682,0.083769634,None,
15,10006,ABI1,10006//ABI1,chr10,27065993,27112233,CA-10006-40950-76853-76960-86846[INC][2/669],0,-,cass,0,0.007680492,-0.007680492,1,0.204918033,0.181818182,None,0,0,0,1,0.122743682,0.083769634,None,
16,10006,ABI1,10006//ABI1,chr10,27059173,27066169,CA-10006-87023-92998-93013-93742[INC][191/203],0,-,cass,0.820359281,0.909657321,-0.089298039,0.000263771,0.204918033,0.198653199,None,0.986710963,0.741239892,0.245471071,1.40E-16,0.133574007,0.083769634,Up,
17,10006,ABI1,10006//ABI1,chr10,27044583,27054246,CA-10006-98870-104852-105026-108346[INC][8/4],0,-,cass,1,1,0,1,0.131147541,0.134680135,None,NA,NA,NA,NA,NA,NA,NA,
18,10006,ABI1,10006//ABI1,chr10,27040526,27054246,CA-10006-98870-104852-105026-112304[INC][9/18],0,-,cass,0.895131086,1,-0.104868914,1,0.155737705,0.195286195,None,NA,NA,NA,NA,NA,NA,NA,
19,10006,ABI1,10006//ABI1,chr10,27047990,27054246,CA-10006-98870-100127-100208-104849[INC][4/34],0,-,cass,0,0,0,1,0.163934426,0.117845118,None,NA,NA,NA,NA,NA,NA,NA,
20,10006,ABI1,10006//ABI1,chr10,27044583,27054246,CA-10006-98870-104849-105026-108346[INC][15/4],0,-,cass,1,1,0,1,0.204918033,0.134680135,None,1,1,0,1,0.108303249,0.052356021,None,
21,10006,ABI1,10006//ABI1,chr10,27040526,27054246,CA-10006-98870-104849-105026-112304[INC][8/18],0,-,cass,0.944554455,1,-0.055445545,1,0.196721311,0.198653199,None,0.983240223,1,-0.016759777,1,0.104693141,0.078534031,None,
23,10007,GNPDA1,10007//GNPDA1,chr5,141391476,141392591,CA-10007-3061-3678-3768-4014[INC][2/205][UPT],0,-,cass,0.003558719,0.026604069,-0.02304535,1,0.303278689,0.282828283,None,0.017857143,0.008196721,0.009660422,1,0.238267148,0.136125654,None,
24,10007,GNPDA1,10007//GNPDA1,chr5,141391476,141392591,CA-10007-3061-3716-3768-4014[INC][12/205][UPT],0,-,cass,0.003558719,0.026604069,-0.02304535,1,0.303278689,0.282828283,None,0.024390244,0.008196721,0.016193523,1,0.238267148,0.136125654,None,
25,10007,GNPDA1,10007//GNPDA1,chr5,141385708,141391605,CA-10007-4144-8155-8257-9729[INC][313/5],0,-,cass,1,1,0,1,0.475409836,0.468013468,None,0.991957934,0.99497307,-0.003015136,0.227480061,0.397111913,0.219895288,None,
26,100093630,SNHG8,100093630//SNHG8,chr4,119199930,119200977,CA-100093630-3376-3627-3670-3862[INC][154/2][UPT][DNT],0,+,cass,0.997205403,0.998770744,-0.001565341,1,0.836065574,0.814814815,None,1,1,0,1,0.74368231,0.638743455,None,
27,10010,TANK,10010//TANK,chr2,162016938,162036271,CA-10010-26532-27330-27458-45659[INC][1/69][UPT],0,+,cass,0.232505643,0.182130584,0.050375059,0.105653435,0.245901639,0.272727273,None,0.103365385,0.091703057,0.011662328,0.015152746,0.194945848,0.146596859,None,
28,10010,TANK,10010//TANK,chr2,162036124,162060105,CA-10010-45807-68908-69025-69532[INC][1/137],0,+,cass,0,0,0,1,0.31147541,0.326599327,None,0,0,0,1,0.296028881,0.209424084,None,
29,10010,TANK,10010//TANK,chr2,162081141,162092679,CA-10010-90792-97016-97597-101387[INC][7/1],0,+,cass,1,1,0,1,0.409836066,0.387205387,None,0.976958525,0.993506494,-0.016547968,0.002148269,0.317689531,0.204188482,None,
30,10010,TANK,10010//TANK,chr2,162087481,162092679,CA-10010-97597-98801-98855-101387[INC][1/27],0,+,cass,0,0,0,1,0.368852459,0.323232323,None,0,0,0,1,0.25631769,0.178010471,None,
31,10011,SRA1,10011//SRA1,chr5,139930645,139936856,CA-10011-3947-8909-9112-9924[INC][113/3],0,-,cass,0.998160074,0.981570217,0.016589856,0.005545571,0.475409836,0.609427609,None,1,1,0,1,0.418772563,0.403141361,None,
32,100128252,LOC100128252,100128252//LOC100128252,chr19,56989525,57005710,CA-100128252-3508-16703-16893-19289[INC][1/78][UPT],0,+,cass,0.005780347,0,0.005780347,1,0.286885246,0.228956229,None,0.001212121,0.007246377,-0.006034256,1,0.115523466,0.083769634,None,
33,100128782,LINC00476,100128782//LINC00476,chr9,98632569,98637548,CA-100128782@0-3998-4429-4469-8536[INC][2/25][UPT][DNT],0,-,cass,0,0.029900332,-0.029900332,1,0.196721311,0.188552189,None,0,0,0,1,0.090252708,0.130890052,None,
34,100128782,LINC00476,100128782//LINC00476,chr9,98632569,98637548,CA-100128782@0-3998-4355-4469-8536[INC][2/25][UPT][DNT],0,-,cass,0,0.011844332,-0.011844332,1,0.196721311,0.188552189,None,0,0,0,1,0.090252708,0.130890052,None,
35,100128782,LINC00476,100128782//LINC00476,chr9,98632569,98637548,CA-100128782@1-3998-4429-4469-8536[INC][2/25][UPT][DNT],0,-,cass,0,0.029900332,-0.029900332,1,0.196721311,0.188552189,None,0,0,0,1,0.090252708,0.130890052,None,
36,100128782,LINC00476,100128782//LINC00476,chr9,98632569,98637548,CA-100128782@1-3998-4355-4469-8536[INC][2/25][UPT][DNT],0,-,cass,0,0.011844332,-0.011844332,1,0.196721311,0.188552189,None,0,0,0,1,0.090252708,0.130890052,None,
37,100129583,FAM47E,100129583//FAM47E,chr4,77172852,77184995,CA-100129583-40781-45138-45484-52664[INC][7/9][UPT],0,+,cass,0.731481481,0.50550381,0.225977671,3.55E-08,0.163934426,0.30976431,Up,0.305912596,0.435582822,-0.129670226,0.000296135,0.166064982,0.089005236,Down,
38,100129583,FAM47E,100129583//FAM47E,chr4,77189812,77199376,CA-100129583-57774-60528-60729-67029[INC][3/1],0,+,cass,1,1,0,1,0.155737705,0.30976431,None,1,1,0,1,0.16967509,0.109947644,None,
39,100129583,FAM47E,100129583//FAM47E,chr4,77199221,77204935,CA-100129583-67185-69224-69302-72341[INC][12/1][DNT],0,+,cass,0.78,0.699906803,0.080093197,0.023613624,0.155737705,0.353535354,None,0.631336406,0.955102041,-0.323765635,4.40E-29,0.180505415,0.120418848,Down,
40,100129842,ZNF737,100129842//ZNF737,chr19,20735280,20748625,CA-100129842-3183-14985-15112-16250[INC][15/1][UPT],0,-,cass,0.981308411,0.953333333,0.027975078,1,0.139344262,0.111111111,None,NA,NA,NA,NA,NA,NA,NA,
41,100130890,LOC100130890,100130890//LOC100130890,chr6,99968911,99973984,CA-100130890-3154-3721-3807-8070[INC][1/10][UPT],0,+,cass,0.249500998,0.283687943,-0.034186945,0.30903522,0.319672131,0.363636364,None,0.301801802,0.181818182,0.11998362,0.281077845,0.180505415,0.261780105,None,
42,100130890,LOC100130890,100130890//LOC100130890,chr6,99973939,99979665,CA-100130890-8116-13369-13543-13638[INC][12/2],0,+,cass,0.858823529,0.637480799,0.221342731,6.67E-14,0.344262295,0.404040404,Up,0.69513315,0.859531773,-0.164398623,8.33E-08,0.19133574,0.261780105,Down,
43,100131089,LOC100131089,100131089//LOC100131089,chr15,40338161,40357684,CA-100131089-9759-28150-28291-28910[INC][2/5],0,+,cass,0.524296675,0.274336283,0.249960392,1.31E-14,0.131147541,0.138047138,Up,NA,NA,NA,NA,NA,NA,NA,
44,100131187,TSTD1,100131187//TSTD1,chr1,161007702,161008773,CA-100131187-3105-3311-3434-3909[INC][48/10][UPT],0,-,cass,0.58071506,0.534173263,0.046541796,0.000965083,0.87704918,0.872053872,None,0.488133607,0.516593886,-0.02846028,4.34E-07,0.76534296,0.727748691,None,
45,100131187,TSTD1,100131187//TSTD1,chr1,161007702,161008773,CA-100131187-3105-3290-3434-3909[INC][3/10][UPT],0,-,cass,0.475964794,0.432568247,0.043396547,0.001220551,0.868852459,0.855218855,None,0.388519426,0.420722135,-0.032202709,3.16E-07,0.761732852,0.727748691,None,
46,166824,RASSF6,166824//RASSF6,chr4,74447533,74451080,CA-166824-38444-41333-41435-41755[INC][8/2],0,-,cass,0.562682216,0.727856226,-0.16517401,5.12E-05,0.131147541,0.074074074,Down,NA,NA,NA,NA,NA,NA,NA,
47,166929,SGMS2,166929//SGMS2,chr4,108779627,108820847,CA-166929-36989-73745-74444-78010[INC][3/1],0,+,cass,1,1,0,1,0.12295082,0.114478114,None,NA,NA,NA,NA,NA,NA,NA,
48,166968,MIER3,166968//MIER3,chr5,56233404,56234843,CA-166968-16245-16789-16832-17429[INC][3/27],0,-,cass,0,0,0,1,0.057377049,0.117845118,None,NA,NA,NA,NA,NA,NA,NA,
49,167153,PAPD4,167153//PAPD4,chr5,78944439,78952823,CA-167153-39274-39642-39771-47538[INC][13/1],0,+,cass,1,0.895973154,0.104026846,1.52E-05,0.090163934,0.114478114,Up,NA,NA,NA,NA,NA,NA,NA,
50,167153,PAPD4,167153//PAPD4,chr5,78944884,78964850,CA-167153-39771-47538-47582-59472[INC][14/5],0,+,cass,0.274390244,0.687420584,-0.413030341,5.81E-17,0.090163934,0.114478114,Down,NA,NA,NA,NA,NA,NA,NA,
51,167227,DCP2,167227//DCP2,chr5,112312478,112321682,CA-167227-3277-7332-7462-12125[INC][2/37][UPT],0,+,cass,0.164705882,0,0.164705882,8.15E-27,0.196721311,0.101010101,Up,NA,NA,NA,NA,NA,NA,NA,
52,1676,DFFA,1676//DFFA,chr1,10523487,10532532,CA-1676-3234-8224-8367-11936[INC][1/1][UPT],0,-,cass,1,1,0,1,0.204918033,0.195286195,None,1,1,0,1,0.158844765,0.120418848,None,
53,1676,DFFA,1676//DFFA,chr1,10527246,10532532,CA-1676-3234-6218-6380-8224[INC][187/1][UPT],0,-,cass,1,1,0,1,0.229508197,0.208754209,None,1,1,0,1,0.155234657,0.136125654,None,
54,1676,DFFA,1676//DFFA,chr1,10523114,10527388,CA-1676-8367-11936-12126-12347[INC][105/5],0,-,cass,1,0.994208494,0.005791506,1,0.237704918,0.218855219,None,1,1,0,1,0.16967509,0.141361257,None,
55,168374,ZNF92,168374//ZNF92,chr7,64838793,64853813,CA-168374-3146-17047-17174-17951[INC][44/5][UPT],0,+,cass,0.878787879,0.765957447,0.112830432,0.070240318,0.024590164,0.107744108,None,NA,NA,NA,NA,NA,NA,NA,
56,168374,ZNF92,168374//ZNF92,chr7,64838793,64865999,CA-168374-3146-17951-18047-27486[INC][5/9][UPT][DNT],0,+,cass,0.878787879,0.8,0.078787879,1,0.040983607,0.117845118,None,NA,NA,NA,NA,NA,NA,NA,
57,168451,THAP5,168451//THAP5,chr7,108206273,108210149,CA-168451-3234-4145-4442-6701[INC][1/20][UPT],0,-,cass,0,0,0,1,0.31147541,0.303030303,None,0,0,0,1,0.111913357,0.209424084,None,
58,168451,THAP5,168451//THAP5,chr7,108202670,108210149,CA-168451-3234-6701-6894-7618[INC][10/4][UPT][DNT],0,-,cass,0.940074906,0.974212034,-0.034137128,1,0.344262295,0.35016835,None,0.983050847,0.9375,0.045550847,1,0.162454874,0.230366492,None,
59,168451,THAP5,168451//THAP5,chr7,108202670,108210149,CA-168451-3234-6701-6772-7618[INC][4/4][UPT][DNT],0,-,cass,0.924528302,0.965384615,-0.040856313,1,0.336065574,0.32996633,None,0.977272727,0.927083333,0.050189394,1,0.140794224,0.230366492,None,
60,169026,SLC30A8,169026//SLC30A8,chr8,118147336,118159391,CA-169026-188126-199546-199576-199681[INC][11/11][UPT],0,+,cass,0.600522648,0.660059937,-0.059537289,5.62E-11,0.942622951,0.811447811,None,0.748579279,0.784060984,-0.035481705,3.27E-11,0.812274368,0.664921466,None,
61,170506,DHX36,170506//DHX36,chr3,154002602,154007614,CA-170506-37789-38533-38632-42510[INC][26/1],0,-,cass,1,1,0,1,0.262295082,0.252525253,None,0.953982301,1,-0.046017699,1,0.202166065,0.157068063,None,
62,170506,DHX36,170506//DHX36,chr3,154000976,154002775,CA-170506-42684-42828-42915-44226[INC][49/2],0,-,cass,1,0.992378879,0.007621121,1,0.31147541,0.276094276,None,1,1,0,1,0.220216606,0.167539267,None,
63,170506,DHX36,170506//DHX36,chr3,153998367,154001059,CA-170506-44310-46635-46735-46828[INC][34/2],0,-,cass,0.984158416,0.963855422,0.020302994,1,0.221311475,0.228956229,None,0.969981238,0.989071038,-0.0190898,1,0.19133574,0.146596859,None,
64,170622,COMMD6,170622//COMMD6,chr13,76100571,76104401,CA-170622-10742-13004-13043-14216[INC][6/225],0,-,cass,0.00461285,0.008128942,-0.003516092,2.87E-11,0.926229508,0.949494949,None,0.015644884,0.007368421,0.008276463,0.752201934,0.812274368,0.827225131,None,
65,171392,ZNF675,171392//ZNF675,chr19,23837347,23845010,CA-171392-28102-33393-33494-35509[INC][1/24][DNT],0,-,cass,0.003389831,0.015384615,-0.011994785,1,0.12295082,0.114478114,None,NA,NA,NA,NA,NA,NA,NA,
66,1716,DGUOK,1716//DGUOK,chr2,74154019,74174032,CA-1716-3227-15084-15197-22893[INC][61/112][UPT],0,+,cass,0.402298851,0.447097944,-0.044799094,0.004374953,0.598360656,0.774410774,None,0.441457454,0.436557232,0.004900222,4.28E-05,0.61732852,0.602094241,None,
67,1716,DGUOK,1716//DGUOK,chr2,74154019,74185371,CA-1716-3227-33299-33415-34320[INC][1/18][UPT],0,+,cass,0.609289617,0.783461211,-0.174171593,4.30E-14,0.5,0.693602694,Down,0.569640694,0.599190283,-0.029549589,5.46E-07,0.490974729,0.497382199,None,
68,1716,DGUOK,1716//DGUOK,chr2,74154019,74185371,CA-1716-3227-22893-23063-34320[INC][2/18][UPT],0,+,cass,0.721789883,0.800706159,-0.078916276,6.68E-06,0.508196721,0.750841751,None,0.549450549,0.630252101,-0.080801551,2.49E-11,0.555956679,0.528795812,None,
69,1716,DGUOK,1716//DGUOK,chr2,74154019,74185371,CA-1716-3227-22893-23081-34320[INC][47/18][UPT],0,+,cass,0.817369093,0.867639396,-0.050270302,6.98E-06,0.56557377,0.791245791,None,0.707945205,0.805405405,-0.0974602,1.28E-11,0.635379061,0.617801047,None,
70,1716,DGUOK,1716//DGUOK,chr2,74154019,74174032,CA-1716-3227-8772-8858-22893[INC][5/112][UPT],0,+,cass,0.028373702,0.040398741,-0.012025038,3.63E-05,0.442622951,0.673400673,None,0.058426966,0.062730627,-0.004303661,6.33E-05,0.519855596,0.439790576,None,
71,1716,DGUOK,1716//DGUOK,chr2,74166036,74174032,CA-1716-15197-19346-19426-22893[INC][1/67],0,+,cass,0.00456621,0.00625711,-0.0016909,0.066095787,0.360655738,0.471380471,None,0,0.006266786,-0.006266786,1,0.310469314,0.293193717,None,
72,1716,DGUOK,1716//DGUOK,chr2,74166036,74174032,CA-1716-15197-19346-19450-22893[INC][1/67],0,+,cass,0.005474453,0.017987634,-0.012513181,0.009664652,0.360655738,0.484848485,None,0,0.030567686,-0.030567686,1.09E-27,0.310469314,0.293193717,None,
73,1716,DGUOK,1716//DGUOK,chr2,74173845,74185371,CA-1716-23081-33299-33415-34320[INC][2/98],0,+,cass,0.284653465,0.373931178,-0.089277713,6.34E-17,0.598360656,0.750841751,None,0.339472374,0.222910217,0.116562158,1.49E-07,0.63898917,0.612565445,Up,
74,1716,DGUOK,1716//DGUOK,chr2,74173845,74185371,CA-1716-23081-26775-26907-34320[INC][1/98],0,+,cass,0.126888218,0.07202473,0.054863488,0.00055957,0.43442623,0.558922559,None,0.077190542,0.073373327,0.003817215,1.79E-11,0.509025271,0.429319372,None,
75,1716,DGUOK,1716//DGUOK,chr2,74173845,74185371,CA-1716-23081-26759-26907-34320[INC][4/98],0,+,cass,0.451612903,0.471664907,-0.020052003,0.000386876,0.590163934,0.744107744,None,0.435919235,0.332668661,0.103250574,8.17E-11,0.689530686,0.586387435,Up,
76,1716,DGUOK,1716//DGUOK,chr2,74173845,74184366,CA-1716-23081-26759-26907-33299[INC][65/2],0,+,cass,0.961048689,0.999563128,-0.038514439,1.01E-14,0.459016393,0.64983165,None,1,1,0,1,0.483754513,0.418848168,None,
77,1716,DGUOK,1716//DGUOK,chr2,74173845,74185371,CA-1716-23081-26801-26907-34320[INC][1/98],0,+,cass,0.126888218,0.07202473,0.054863488,0.000292252,0.426229508,0.565656566,None,0.079111728,0.076356946,0.002754782,8.12E-14,0.509025271,0.429319372,None,
78,1716,DGUOK,1716//DGUOK,chr2,74173845,74184366,CA-1716-23081-26895-26907-33299[INC][1/2],0,+,cass,0.905454545,0.999061473,-0.093606928,1.62E-15,0.426229508,0.599326599,None,1,1,0,1,0.389891697,0.408376963,None,
79,1716,DGUOK,1716//DGUOK,chr2,74177711,74185371,CA-1716-26907-33299-33415-34320[INC][78/7],0,+,cass,0.736176935,0.893777069,-0.157600133,2.97E-23,0.475409836,0.663299663,Down,0.865454545,0.801992528,0.063462017,0.068060358,0.498194946,0.486910995,None,
80,1725,DHPS,1725//DHPS,chr19,12786830,12788209,CA-1725-7597-7676-7780-8809[INC][1/1],0,-,cass,1,1,0,1,0.467213115,0.491582492,None,0.997764114,0.995243757,0.002520357,1,0.371841155,0.335078534,None,
81,1725,DHPS,1725//DHPS,chr19,12786830,12788209,CA-1725-7597-7676-7780-8745[INC][90/12],0,-,cass,0.996541787,0.99003517,0.006506617,0.122569429,0.5,0.538720539,None,0.997619048,0.891217565,0.106401483,1.59E-37,0.440433213,0.382198953,Up,
82,1727,CYB5R3,1727//CYB5R3,chr22,43027383,43032851,CA-1727-15685-15801-15921-20949[INC][2/530],0,-,cass,0,0,0,1,0.114754098,0.228956229,None,0,0,0,1,0.119133574,0.136125654,None,
83,1727,CYB5R3,1727//CYB5R3,chr22,43023610,43026993,CA-1727-21518-24118-24248-24711[INC][443/1],0,-,cass,1,1,0,1,0.139344262,0.279461279,None,1,1,0,1,0.151624549,0.209424084,None,
84,1728,NQO1,1728//NQO1,chr16,69746930,69752155,CA-1728-11508-14553-14667-16501[INC][338/66],0,-,cass,0.515789474,0.909160893,-0.393371419,7.15E-29,0.12295082,0.067340067,Down,0.923190547,0.928721174,-0.005530627,0.796693629,0.108303249,0.068062827,None,
85,1728,NQO1,1728//NQO1,chr16,69744744,69752155,CA-1728-11508-16501-16603-18349[INC][54/4][DNT],0,-,cass,1,1,0,1,0.12295082,0.067340067,None,NA,NA,NA,NA,NA,NA,NA,
86,1728,NQO1,1728//NQO1,chr16,69744744,69748979,CA-1728-14667-16501-16603-18349[INC][213/18][DNT],0,-,cass,0.957264957,0.943737441,0.013527516,0.373376962,0.147540984,0.070707071,None,1,0.981609195,0.018390805,1,0.101083032,0.062827225,None,
87,1729,DIAPH1,1729//DIAPH1,chr5,140896365,140903795,CA-1729-97913-103059-103112-105047[INC][3/65][DNT],0,-,cass,0,0,0,1,0.06557377,0.117845118,None,NA,NA,NA,NA,NA,NA,NA,
88,1736,DKC1,1736//DKC1,chrX,154002876,154003547,CA-1736-14950-15030-15089-15439[INC][1/78],0,+,cass,0,0.008861622,-0.008861622,1,0.147540984,0.208754209,None,0,0,0,1,0.180505415,0.146596859,None,
89,1738,DLD,1738//DLD,chr7,107531604,107543991,CA-1738-3149-5059-5138-15337[INC][7/1][UPT],0,+,cass,1,1,0,1,0.483606557,0.451178451,None,0.944873208,1,-0.055126792,3.45E-07,0.42599278,0.345549738,None,
90,1738,DLD,1738//DLD,chr7,107533644,107543991,CA-1738-5138-13597-13677-15337[INC][7/7],0,+,cass,1,1,0,1,0.450819672,0.474747475,None,1,1,0,1,0.429602888,0.371727749,None,
91,1738,DLD,1738//DLD,chr7,107542182,107543991,CA-1738-13677-14188-14253-15337[INC][1/7],0,+,cass,1,0.986607143,0.013392857,1,0.459016393,0.457912458,None,1,0.993144816,0.006855184,1,0.458483755,0.345549738,None,
92,1738,DLD,1738//DLD,chr7,107542182,107543991,CA-1738-13677-14184-14253-15337[INC][526/7],0,+,cass,1,0.993846154,0.006153846,1,0.524590164,0.491582492,None,1,0.996289425,0.003710575,1,0.490974729,0.371727749,None,
93,1738,DLD,1738//DLD,chr7,107545402,107546812,CA-1738-16918-17220-17364-18126[INC][119/2],0,+,cass,1,1,0,1,0.491803279,0.494949495,None,1,1,0,1,0.490974729,0.408376963,None,
94,1738,DLD,1738//DLD,chr7,107558368,107560189,CA-1738-29921-30869-30959-31053[INC][61/2][DNT],0,+,cass,1,1,0,1,0.540983607,0.592592593,None,1,1,0,1,0.541516245,0.465968586,None,
95,1739,DLG1,1739//DLG1,chr3,196869588,196921459,CA-1739-107152-151780-151834-158808[INC][7/3],0,-,cass,0.705426357,0.81981982,-0.114393463,0.003091825,0.139344262,0.164983165,Down,0.951473137,1,-0.048526863,1,0.115523466,0.047120419,None,
96,1739,DLG1,1739//DLG1,chr3,196876613,196921459,CA-1739-107152-139838-139937-151780[INC][11/9],0,-,cass,0.145228216,0.048814505,0.096413711,0.013664179,0.081967213,0.104377104,None,NA,NA,NA,NA,NA,NA,NA,
97,1739,DLG1,1739//DLG1,chr3,196867010,196876666,CA-1739-151834-158808-158859-161312[INC][31/2],0,-,cass,1,1,0,1,0.147540984,0.178451178,None,1,1,0,1,0.119133574,0.057591623,None,
98,1739,DLG1,1739//DLG1,chr3,196793574,196796130,CA-1739-232358-233039-233075-234822[INC][4/20],0,-,cass,0,0,0,1,0.139344262,0.121212121,None,NA,NA,NA,NA,NA,NA,NA,
99,175,AGA,175//AGA,chr4,178359898,178361579,CA-175-5231-5815-5928-6646[INC][105/1],0,-,cass,1,0.997738836,0.002261164,1,0.270491803,0.259259259,None,1,1,0,1,0.296028881,0.162303665,None,
100,175,AGA,175//AGA,chr4,178355535,178358672,CA-175-8099-9152-9228-11014[INC][33/4],0,-,cass,1,0.921590282,0.078409718,1.34E-13,0.278688525,0.323232323,None,0.952747253,1,-0.047252747,1.57E-06,0.314079422,0.183246073,None,
