gene chrom chromStart chromEnd name celltype β.dI β/α.dI α.dI δ.dI PP.dI
37 22905//EPN2 chr17 19140708 19185389 CA-22905-3155-39674-39942-47578[INC][1/145][UPT] β -0.173913043478261 -0.11864406779661 0.261682242990654 -0.121212121212121 -0.110671936758893
38 22944//KIN chr10 7822226 7829880 CA-22944-3208-7852-7947-10720[INC][23/4][UPT] β -0.118146416021588 0.0403055098822995 0.145956244278862 0.170762444864524 -0.632081456774769
39 22984//PDCD11 chr10 105158172 105160284 CA-22984-4874-5992-6176-6742[INC][1/37] β -0.116195734002509 0.105799373040752 -0.103603223185502 -0.104710041081494 0.606305829624327
40 22998//LIMCH1 chr4 41621204 41646642 CA-22998-261654-281145-281181-286713[INC][20/15] β -0.115998770822204 0.0180238142146481 0.138126364944623 -0.0821248880671533 -0.0300613701119885
41 23042//PDXDC1 chr16 15092196 15098189 CA-23042-26430-29800-29912-32211[INC][1/15] β -0.102544429049221 0.0654545454545454 0.0764848989535768 0.0600750938673341 -0.0366242414654061
42 23077//MYCBP2 chr13 77699470 77713470 CA-23077-190847-203557-203725-204574[INC][1/8] β -0.259959067064354 -0.13495919783944 0.435364041604755 0.394878706199461 0.390146471371505
43 23077//MYCBP2 chr13 77699470 77713470 CA-23077-190847-203500-203725-204574[INC][9/8] β -0.208609377933458 -0.171938117027874 0.317959848073793 0.280785816962147 0.278914802475012
44 23099//ZBTB43 chr9 129567288 129595100 CA-23099-3127-6787-6910-30481[INC][44/8][UPT][DNT] β -0.182467532467532 -0.296075218476904 0.211950250743354 0.317093311312964 0.317880794701987
45 23111//SPG20 chr13 36909157 36920832 CA-23111-26599-36822-36894-37348[INC][11/51][UPT] β -0.189944375386949 0.0458692663417073 0.147727935295305 -0.180525635501939 0.0447697746546078
46 23142//DCUN1D4 chr4 52752733 52758016 CA-23142-46529-47013-47135-51650[INC][3/104] β -0.140104431403355 0.131493260639103 0.0879693178732316 0.178318135764944 0.0754599812761393
47 23175//LPIN1 chr2 11886757 11905858 CA-23175-72093-81168-81286-90954[INC][11/106][UPT] β -0.131376340035593 0.142005439976476 -0.0343470483005367 0.302623798965262 -0.0762527233115468
48 23244//PDS5A chr4 39910014 39915345 CA-23244-67346-70618-70713-72416[INC][16/1] β -0.178890876565295 0.0922509225092251 0.131233595800525 0.0848896434634975 0.0892857142857143
49 23253//ANKRD12 chr18 9195548 9208800 CA-23253-61946-70723-70792-74904[INC][21/21] β -0.147458327455756 0.00102556229927619 0.11964764126901 0.200172548704881 0.0442468804794069
50 23291//FBXW11 chr5 171337575 171433653 CA-23291-3416-95468-95531-99076[INC][13/24][UPT] β -0.344537038747944 0.158485273492286 0.22338556672054 -0.330684241132002 0.353350189633375
51 23291//FBXW11 chr5 171337575 171433653 CA-23291-3416-12822-12984-99076[INC][2/24][UPT] β -0.300189393939394 0.175949367088608 0.271362271362271 -0.3369601055061 0.163049853372434
52 23360//FNBP4 chr11 47741480 47745723 CA-23360-46414-47125-47466-50355[INC][13/2] β -0.311258278145695 0.155629139072848 0.221698113207547 0.139880952380952 0.149206349206349
53 23369//PUM2 chr2 20462953 20482991 CA-23369-47437-51564-51801-66923[INC][13/10] β -0.301859504132231 0.236066659309127 0.48633674794402 -0.133737396623995 NA
54 23421//ITGB3BP chr1 63906440 63919644 CA-23421-72356-79417-79468-85170[INC][44/3][DNT] β -0.175450843513671 -0.0695436730422153 0.150642143649913 0.0999621355547141 0.107711138310894
55 23450//SF3B3 chr16 70582272 70588499 CA-23450-27655-29862-29891-33658[INC][6/80] β -0.154494821236972 -0.144176500769625 0.192463430546345 -0.139731476877176 0.424127848356524
56 23473//CAPN7 chr3 15282260 15283759 CA-23473-37628-38227-38363-38952[INC][19/2] β -0.121516427969671 0.468729819681089 -0.170141784820684 -0.435613062230437 0.166187033527526
57 23474//ETHE1 chr19 44015588 44030810 CA-23474-3730-3928-4044-18678[INC][1/6] β -0.289740958422738 0.0652002708042609 0.226808687952498 0.263982061104363 0.100659563673262
58 23474//ETHE1 chr19 44015588 44030810 CA-23474-3730-3895-4044-18678[INC][62/6] β -0.222683276285188 0.0458323588716049 0.171841589041298 0.187268275620846 0.058577817091749
59 23514//KIAA0146 chr8 48639761 48648562 CA-23514-469367-471006-471176-477380[INC][3/3][DNT] β -0.127559282822441 0.0808080808080808 0.108419021858032 0.0799200799200799 -0.024901185770751
60 23544//SEZ6L chr22 26761337 26771654 CA-23544-199093-206977-207010-209104[INC][4/5] β -0.171767373616113 0.289319358134232 0.00470575957458408 0.303463441451347 0.140985253161667
61 23544//SEZ6L chr22 26761337 26771654 CA-23544-199093-206977-207010-209101[INC][8/8] β -0.208536585365854 0.0564141008155929 0.127952750694259 0.132344379999569 0.242904841402337
62 23600//AMACR chr5 33998745 34006003 CA-23600-121773-122794-122955-128701[INC][47/33] β -0.288898620224267 0.188040358204851 0.231754089114495 0.115987310132667 0.339218997901633
63 23646//PLD3 chr19 40854621 40872416 CA-23646-3344-20237-20506-20994[INC][6/23][UPT] β -0.245447127154034 -0.0364623963479819 0.302721525768777 -0.180477931180327 0.294784580498866
64 23646//PLD3 chr19 40854621 40872416 CA-23646-3344-20432-20506-20994[INC][1/23][UPT] β -0.265519219736087 -0.0516511788109263 0.32847122588873 -0.195268968964554 0.280031570639305
65 23646//PLD3 chr19 40854621 40872416 CA-23646-3344-20293-20506-20994[INC][18/23][UPT] β -0.257126820208363 -0.00845660392270503 0.309163987138264 -0.196517887264033 0.278784060481966
66 23646//PLD3 chr19 40854621 40872416 CA-23646-3344-20128-20506-20994[INC][33/23][UPT] β -0.202040642512818 0.0460030980943117 0.238883399209486 -0.179514584725006 0.216884820119834
67 23705//CADM1 chr11 115049363 115085499 CA-23705-292914-309083-309116-328746[INC][3/6] β -0.296436763632572 -0.108879355174207 0.417867435158501 0.185392958273228 0.385282586823023
68 23705//CADM1 chr11 115049363 115080376 CA-23705-297948-309083-309116-328746[INC][12/49] β -0.168411603891697 0.0515432921068315 0.0679057432285553 0.145416589111639 0.471328806072231
69 252983//STXBP4 chr17 53078168 53108624 CA-252983-35119-41741-41833-65403[INC][4/1] β -0.121775394697647 0.0957743291541525 0.0473522187616597 0.092436974789916 0.0986547085201793
70 253782//CERS6 chr2 169622101 169626221 CA-253782-312500-313073-313097-316261[INC][8/12][DNT] β -0.170741575631466 -0.0396257264945521 0.176552342210195 -0.302281368821293 0.174358974358974
71 256130//TMEM196 chr7 19761401 19765390 CA-256130-50268-51428-51502-53647[INC][3/8][DNT] β -0.116639566395664 0.0278083345721223 0.102173769104324 -0.159732035379704 0.180621460278586
72 256309//CCDC110 chr4 186383796 186392202 CA-256309-3815-11710-11766-12051[INC][42/4] β -0.126968686307208 0.277148424952352 0.0209851789633403 -0.0272727272727273 -0.300859598853868
73 257160//RNF214 chr11 117153119 117153925 CA-257160-52849-53058-53163-53427[INC][21/2] β -0.12548639640338 0.095096436744034 0.264976958525346 0.21883920076118 -0.33245744998507
74 25796//PGLS chr19 17622715 17627088 CA-25796-3338-4322-4346-7550[INC][1/114][UPT] β -0.20135986317941 -0.00220560030686613 0.23070493173586 NA -0.129909365558912
75 25827//FBXL2 chr3 33339155 33400512 CA-25827-23284-23427-23521-84525[INC][16/90] β -0.220334559878911 0.490545784823714 0.190336496980155 -0.325396825396825 -0.0872406933788008
76 25831//HECTD1 chr14 31596990 31602619 CA-25831-77246-81176-81872-82477[INC][1/1] β -0.104580882051842 0.0604482795211406 0.0866041413433905 0.0780911062906724 -0.0228292682926829
77 25852//ARMC8 chr3 137906372 137928734 CA-25852-3327-4128-4258-25544[INC][13/68][UPT] β -0.121557816015464 -0.0362544830812412 0.157821617115866 -0.18882621891649 0.215032679738562
78 25852//ARMC8 chr3 137906372 137928734 CA-25852-3327-4182-4258-25544[INC][64/68][UPT] β -0.150410141685309 0.0488706517319138 0.152457757296467 -0.270948689553341 0.243644966188319
79 25852//ARMC8 chr3 137906372 137940838 CA-25852-3327-4182-4258-37653[INC][16/37][UPT] β -0.16048951048951 0.101622283440465 0.0908917543164782 -0.0469510449470369 0.448743953814948
80 25852//ARMC8 chr3 137906372 137940838 CA-25852-3327-25544-25621-37653[INC][67/37][UPT] β -0.134174753566845 -0.00180768400604359 0.0748062257317968 0.204029998131789 0.252658420989377
81 25875//LETMD1 chr12 51442816 51449803 CA-25875-3887-8513-8562-10536[INC][38/12] β -0.100456621004566 -0.0417904535551594 0.173622704507512 0.142661179698217 0.147308781869688
82 25875//LETMD1 chr12 51442816 51449803 CA-25875-3887-6793-6909-10688[INC][1/4] β -0.123890225616348 0.126144455747711 0.0666085476472176 0.111111111111111 0.114708603145236
83 25898//RCHY1 chr4 76415790 76416991 CA-25898-25707-25793-25848-26729[INC][3/10] β -0.173439202721831 0.0600228789532878 0.133790703781513 0.133468149646107 0.113997044846452
84 25898//RCHY1 chr4 76415790 76416991 CA-25898-25707-25793-25820-26729[INC][55/10] β -0.106158617277594 0.0373119893725593 0.0779932555343978 0.0768335273573924 0.0666118029327433
85 25906//ANAPC15 chr11 71822202 71823733 CA-25906-3127-4280-4335-4490[INC][4/1][UPT] β -0.117428455860047 0.0597989195678271 0.0916161561980369 -0.016870550964713 0.0884848484848485
86 25913//POT1 chr7 124503403 124532433 CA-25913-40718-61942-62073-69343[INC][28/6] β -0.447148397196428 0.228476699377362 0.281993378980873 -0.734124629080119 0.27212522576761
87 26010//SPATS2L chr2 201283972 201305506 CA-26010-116616-136241-136448-137768[INC][32/54] β -0.129576084293065 0.363782179805919 -0.185817473776773 0.200723783874769 -0.268722190888012
88 26054//SENP6 chr6 76331247 76333675 CA-26054-22720-23845-23953-24994[INC][4/26] β -0.170743494423792 -0.12753036437247 0.332903559611284 0.0173927642071686 -0.116236162361624
89 26054//SENP6 chr6 76344422 76357516 CA-26054-35906-41778-41799-48825[INC][11/12] β -0.193314208769978 0.122262773722628 0.150406927127781 0.114139693356048 0.113175675675676
90 26054//SENP6 chr6 76344422 76357516 CA-26054-35906-41781-41799-48825[INC][9/12] β -0.200800088625202 0.119217081850534 0.141693946912988 0.108414239482201 0.105428796223446
91 26061//HACL1 chr3 15631046 15637930 CA-26061-8240-12943-13024-15011[INC][254/18] β -0.150032433472383 0.126651480637813 0.0851109218177105 0.113654946852003 0.116561844863732
92 26061//HACL1 chr3 15628031 15633186 CA-26061-13024-15011-15084-18021[INC][199/8] β -0.123152709359606 0.0706880301602262 0.0912408759124088 0.0620604054613156 0.0632111251580278
93 26092//TOR1AIP1 chr1 179858447 179870522 CA-26092-10328-21084-21137-22260[INC][1/1] β -0.111335176451456 0.201550387596899 0.00154085045389396 0.189090909090909 0.183962264150943
94 26118//WSB1 chr17 25633807 25636297 CA-26118-15803-16664-16828-18020[INC][1/29] β -0.157126178972829 -0.0396123611372623 0.237306437397491 -0.37500696070155 -0.181090139660323
95 26118//WSB1 chr17 25633807 25636297 CA-26118-15803-16664-16840-18020[INC][1/29] β -0.168758613765378 -0.0197315705128205 0.238171587826776 -0.352415077706209 -0.20951123556625
96 26137//ZBTB20 chr3 114693212 114819143 CA-26137-50106-78866-79062-175864[INC][3/12][UPT] β -0.178918140002226 -0.0102045908183632 0.370786226065712 0.0296258754146701 -0.319958726415094
97 26235//FBXL4 chr6 99375580 99395820 CA-26235-3168-16094-16212-23151[INC][35/22][UPT] β -0.145915506759949 0.12986302251839 -0.0395859991253503 0.398290598290598 0.348510888245915
98 26258//PLDN chr15 45879576 45897711 CA-26258-3307-7916-8058-21209[INC][9/40][UPT] β -0.132041671285734 0.164124145186744 0.0439681671691246 0.0922485953445705 0.157178841309824
99 2629//GBA chr1 155210876 155214417 CA-2629-3357-3632-3768-6682[INC][12/77][UPT] β -0.24630793401414 0.203240940207765 0.215204544296704 0.0180690399137001 -0.233226837060703
100 2629//GBA chr1 155210876 155214417 CA-2629-3357-3629-3768-6682[INC][27/77][UPT] β -0.22545164622103 0.192852341227422 0.208419922011815 -0.18981224748475 -0.26530612244898
101 26297//SERGEF chr11 18029487 18034582 CA-26297-3140-5951-6016-8014[INC][1/24][UPT] β -0.133744377229719 0.0977777777777778 0.0444433579426001 0.417036215816704 -0.189765458422175
102 26297//SERGEF chr11 18029487 18034473 CA-26297-3240-5951-6016-8014[INC][1/34][UPT] β -0.16431948637511 0.145970817945147 0.143802363050483 0.196537881160493 -0.278314310798946
103 26297//SERGEF chr11 18029487 18034473 CA-26297-3240-5951-6020-8014[INC][5/34][UPT] β -0.230982990361692 0.237214073720233 0.163461538461538 0.153256704980843 -0.328979591836735
104 26297//SERGEF chr11 17899754 18010301 CA-26297-27494-89244-89353-137846[INC][1/8] β -0.201542649727768 -0.0762052877138414 0.282577349821594 -0.0742424242424242 -0.0787781350482315
105 26297//SERGEF chr11 17899754 18010301 CA-26297-27494-56454-56621-137846[INC][19/8] β -0.156070870576474 0.167478395558307 0.0260396436282334 0.20445566286216 0.100986623659994
106 2650//GCNT1 chr9 79074137 79115976 CA-2650-20640-21394-21512-62250[INC][11/21][UPT] β -0.192936764246276 0.0167025862068966 0.0925567178957338 0.316356107660456 0.273316427162581
107 26503//SLC17A5 chr6 74346343 74351646 CA-26503-15324-18515-18603-20307[INC][20/1] β -0.119541109410695 0.0802092504775587 0.0851633470839576 0.110571081409477 0.0190515577612351
108 26959//HBP1 chr7 106809447 106820506 CA-26959-3067-8487-8785-13918[INC][2/201][UPT] β -0.21877449969053 0.318930863937704 0.0648150242387232 -0.163361661945231 -0.163670766319773
109 27236//ARFIP1 chr4 153784757 153793715 CA-27236-86755-93793-93889-95492[INC][48/55] β -0.142703767117089 0.0339623850565506 0.100857554225168 0.11204667820972 0.143903306078919
110 27315//PGAP2 chr11 3829523 3845605 CA-27315-13592-29159-29412-29546[INC][11/1] β -0.114211874051593 -0.0987402536141403 0.153848431024275 0.10077519379845 0.10009624639076
111 27332//ZNF638 chr2 71558884 71582909 CA-27332-3121-19998-21517-26964[INC][6/6][UPT] β -0.122253182321429 0.0492539611350233 0.0474772715740114 0.192470325410158 0.10565371024735
112 2778//GNAS chr20 57470666 57478639 CA-2778-58945-62201-62246-66791[INC][345/134] β -0.145103018711523 0.00975928558429917 0.112052390226841 0.155585104287865 0.143194892081936
113 2801//GOLGA2 chr9 131028565 131029795 CA-2801-11532-11715-11796-12664[INC][12/7] β -0.137286921644464 -0.0620505155804518 0.167215996484289 0.11174657256429 -0.0596168928137858
114 2804//GOLGB1 chr3 121437234 121441224 CA-2804-30506-33014-33122-34266[INC][3/6] β -0.133053528156107 0.197023177304051 0.0795185036022733 -0.328522261809545 0.149206741156862
115 2804//GOLGB1 chr3 121437234 121441224 CA-2804-30506-33017-33122-34266[INC][1/6] β -0.105132108326332 0.247226455653239 0.0615920675488807 -0.342191927701616 -0.0298489839774244
116 283587//LOC283587 chr14 88490893 88511191 CA-283587-3120-3857-3932-23065[INC][1/2][UPT] β -0.306613756613757 0.0540151772567674 0.330086392748674 0.0517006802721088 0.0230276587058583
117 283587//LOC283587 chr14 88490893 88550498 CA-283587-3120-3857-3932-62487[INC][3/1][UPT] β -0.206633226946676 -0.0934596804162021 0.213960263253724 0.164596273291925 0.177356503422854
118 283927//NUDT7 chr16 77759327 77776156 CA-283927-6093-16336-16495-22090[INC][4/13][DNT] β -0.113780896974174 -0.0387708469345361 0.0805281587208785 0.376969696969697 0.0134405996575232
119 283927//NUDT7 chr16 77769724 77776156 CA-283927-16495-17158-17252-22090[INC][9/6][DNT] β -0.102606882168926 0.511533286690706 0.0110803324099723 -0.251875238596383 0.0879039704524469
120 283970//PDXDC2P chr16 70010193 70012014 CA-283970-90872-90945-92138-92216[INC][2/7][DNT] β -0.163854923232509 0.313666586557719 -0.0379154194489216 -0.279102384291725 0.191979565772669
121 284408//LOC284408 chr19 37288419 37292834 CA-284408-3262-6653-6691-7326[INC][5/6][UPT] β -0.114363265732229 -0.00769832577061502 0.068901176194756 0.228051391862955 0.209455492303372
122 284802//FRG1B chr20 29612304 29614326 CA-284802-3519-4083-4183-5382[INC][1/22] β -0.267605633802817 -0.120212571009712 0.257592906998679 0.384714193962749 0.359612362493452
123 284900//TTC28-AS1 chr22 28315491 28331217 CA-284900-3170-5642-5803-18775[INC][1/11][UPT] β -0.13128707056866 0.00475017593244198 0.175041902533127 0.474146341463415 -0.138461538461538
124 285331//CCDC66 chr3 56593596 56598152 CA-285331-5439-6706-6857-9528[INC][5/47] β -0.104080694116565 -0.0762607626076261 0.172113357520815 -0.071264367816092 -0.0720092915214866
125 285331//CCDC66 chr3 56605208 56627128 CA-285331-17147-18181-18273-38814[INC][5/11] β -0.101982729235314 -0.0476190476190476 0.174536378076201 -0.186497890295359 -0.188085106382979
126 285343//C3orf23 chr3 44399232 44403009 CA-285343-22758-23098-23227-26246[INC][1/55] β -0.284784139179082 -0.0796217723360407 0.336483284748496 -0.17942281391202 -0.0890593673330722
127 285343//C3orf23 chr3 44399232 44403009 CA-285343-22758-23989-24081-26246[INC][2/55] β -0.107628004179728 0.272428889628511 -0.0274942112151414 -0.0644959298685034 -0.0649842271293375
128 285753//CEP57L1 chr6 109461623 109468139 CA-285753-48523-53066-53229-54605[INC][3/1] β -0.117681094914877 -0.0651724137931035 0.0840857066185435 0.102930664760543 0.0785827572792291
129 286827//TRIM59 chr3 160156557 160167547 CA-286827-3122-4043-4113-13652[INC][18/2][UPT][DNT] β -0.326232114467409 -0.0805103884372178 0.200548328763927 0.335732984293194 0.105036785512168
130 28957//MRPS28 chr8 80915233 80942478 CA-28957-3218-4475-4577-30091[INC][1/15][UPT] β -0.130183021924397 0.150323027578651 -0.0437467311366572 0.342603039755758 0.806157354618016
131 29058//TMEM230 chr20 5089977 5093691 CA-29058-3358-4279-4324-6642[INC][1/46][UPT] β -0.110569907414325 -0.135662727820742 0.045834487362493 0.500889296613184 0.201298239665761
132 29086//BABAM1 chr19 17382405 17387432 CA-29086-7233-9481-9602-12072[INC][2/9] β -0.31259145167501 0.145205479452055 0.217659137577002 0.142281879194631 -0.0120879120879122
133 29089//UBE2T chr1 202302577 202304945 CA-29089-9321-9908-9978-11411[INC][114/1] β -0.106662779634271 0.00472925376198685 0.0562361978107835 0.0453452421848162 0.0463483146067416
134 29097//CNIH4 chr1 224553580 224563694 CA-29097-12099-17437-17531-21902[INC][3/12][DNT] β -0.132802628253728 0.074574237151585 0.074663685721723 0.0182669284603935 0.0507662162267657
135 2952//GSTT1 chr22 24376821 24384270 CA-2952-3165-5497-5585-10286[INC][1/7][UPT] β -0.229908958075756 0.0775514581676156 0.184343434343434 0.238821138211382 -0.0648997621474685
136 2952//GSTT1 chr22 24376821 24384270 CA-2952-3165-7834-7924-10286[INC][2/7][UPT] β -0.194103110173697 0.0418160113655792 0.164860840046988 0.185991294024535 -0.0289263157894737
137 2952//GSTT1 chr22 24376821 24384270 CA-2952-3165-7773-7924-10286[INC][15/7][UPT] β -0.197701701061163 0.0332976445396146 0.170825329051711 0.183164458300857 -0.0317157604527269
138 29896//TRA2A chr7 23547038 23556146 CA-29896-18675-21955-22144-27502[INC][30/1] β -0.222387020248749 0.10041172961529 0.168178070898598 0.105864037363778 0.103922567498726
139 2990//GUSB chr7 65439512 65441188 CA-2990-9300-10243-10396-10610[INC][41/9] β -0.256825075834176 0.131275412828811 0.0496264639676378 NA NA
140 302//ANXA2 chr15 60678226 60690184 CA-302-3044-3648-3729-14900[INC][176/239][UPT] β -0.164496256859025 -0.194850850850851 0.242362107211303 -0.354217428036193 -0.3362617200255
141 302//ANXA2 chr15 60682411 60690184 CA-302-3044-3648-3729-10669[INC][1/11][UPT] β -0.200733076790302 0.220765027322404 0.142981503669313 0.211740041928721 -0.190356394129979
142 302//ANXA2 chr15 60678226 60690144 CA-302-3116-3648-3729-14900[INC][1/9][UPT] β -0.128433098591549 0.0442211055276381 0.120218579234973 -0.625770853618955 0.0430528375733855
143 3065//HDAC1 chr1 32757704 32782382 CA-3065-3112-13493-13627-27558[INC][1/3][UPT] β -0.111405835543767 0.0543337645536869 0.0862422997946611 0.0517879161528977 0.0523690773067331
144 3150//HMGN1 chr21 40717071 40720264 CA-3150-3830-6163-6292-6847[INC][7/309] β -0.160621421298679 -0.339284824196748 0.0451608832461408 0.458085192891823 -0.0077940274980296
145 3257//HPS1 chr10 100193739 100195528 CA-3257-14313-14533-14676-15856[INC][32/17] β -0.332060334196154 0.188547284359089 0.352213574569162 -0.756711409395973 0.262458471760797
146 3257//HPS1 chr10 100189329 100190426 CA-3257-19377-20058-20157-20305[INC][29/20] β -0.140240747866112 0.113715747987373 0.0734461443864064 0.361244019138756 -0.0854082998661312
147 339487//ZBTB8OS chr1 33099551 33116135 CA-339487-3152-18792-18817-19474[INC][2/9][UPT] β -0.102844144244725 -0.0505618602870189 0.121192415218184 -0.0860067845586879 0.245387277193001
148 34//ACADM chr1 76205664 76215243 CA-34-18753-24477-24557-28061[INC][1/1] β -0.107316937754325 0.075037147102526 0.071212605025246 0.0709768095572734 0.0728978708047636
